"Influenza Hospitalization Rates (per 100,000 population) for the FluSurv-NET Network (downloaded on "Oct-09-2023)
Influenza Division - Centers for Disease Control and Prevention.
CATCHMENT,NETWORK,YEAR,MMWR-YEAR,MMWR-WEEK,AGE CATEGORY,SEX CATEGORY,RACE CATEGORY,CUMULATIVE RATE,WEEKLY RATE 
Entire Network,EIP,2019-20,2019,40,Overall,Overall,White,0.1,0.1
Entire Network,EIP,2019-20,2019,40,Overall,Overall,Black,0.1,0.1
Entire Network,EIP,2019-20,2019,40,Overall,Overall,Hispanic/Latino,0.1,0.1
Entire Network,EIP,2019-20,2019,40,Overall,Overall,Asian/Pacific Islander,0.2,0.2
Entire Network,EIP,2019-20,2019,40,Overall,Overall,American Indian/Alaska Native,0,0
Entire Network,EIP,2019-20,2019,40,Overall,Male,Overall,0.1,0.1
Entire Network,EIP,2019-20,2019,40,Overall,Female,Overall,0.1,0.1
Entire Network,EIP,2019-20,2019,40,Overall,Overall,Overall,0.1,0.1
Entire Network,FluSurv-NET,2019-20,2019,40,Overall,Overall,White,0.1,0.1
Entire Network,FluSurv-NET,2019-20,2019,40,Overall,Overall,Black,0.1,0.1
Entire Network,FluSurv-NET,2019-20,2019,40,Overall,Overall,Hispanic/Latino,0.1,0.1
Entire Network,FluSurv-NET,2019-20,2019,40,Overall,Overall,Asian/Pacific Islander,0.2,0.2
Entire Network,FluSurv-NET,2019-20,2019,40,Overall,Female,Overall,0.1,0.1
Entire Network,FluSurv-NET,2019-20,2019,40,Overall,Overall,Overall,0.1,0.1
Entire Network,FluSurv-NET,2019-20,2019,40,Overall,Overall,American Indian/Alaska Native,0,0
Entire Network,FluSurv-NET,2019-20,2019,40,Overall,Male,Overall,0.1,0.1
Entire Network,IHSP,2019-20,2019,40,Overall,Overall,White,0,0
Entire Network,IHSP,2019-20,2019,40,Overall,Overall,Black,0,0
Entire Network,IHSP,2019-20,2019,40,Overall,Overall,Hispanic/Latino,0.3,0.3
Entire Network,IHSP,2019-20,2019,40,Overall,Overall,Asian/Pacific Islander,0,0
Entire Network,IHSP,2019-20,2019,40,Overall,Female,Overall,0.1,0.1
Entire Network,IHSP,2019-20,2019,40,Overall,Overall,American Indian/Alaska Native,0,0
Entire Network,IHSP,2019-20,2019,40,Overall,Male,Overall,0,0
Entire Network,IHSP,2019-20,2019,40,Overall,Overall,Overall,0,0
